"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"fert.eps.year[4]",-0.20887521972608,0.216980429013805,-0.677847358132677,-0.339852273861678,-0.194654785619235,-0.0654454689457477,0.192889844883647,1.00103249156233,7500
"fert.eps.year[5]",-0.00774235259511448,0.303575237104508,-0.625687018218215,-0.180462031494242,-0.00801749441255996,0.162188802256717,0.610364924168266,1.00087934770501,7500
"fert.eps.year[6]",-0.0108473300392313,0.206346183502554,-0.426516491686862,-0.131541228351516,-0.0132724404073156,0.109972595183279,0.413667516553806,1.00095078289485,7500
"fert.eps.year[7]",-0.287910860980256,0.235571546761325,-0.805541743790634,-0.428489917504174,-0.269838655757664,-0.126392775563957,0.121155173482387,1.0008367459192,7500
"fert.eps.year[8]",0.150785900152296,0.177952658607406,-0.177211924606975,0.0395737059498316,0.141775612059933,0.252983482828767,0.534871734802506,1.00114274561576,5800
"fert.eps.year[9]",0.14336205514235,0.191892280390124,-0.20163707590949,0.0254873724236001,0.132037873242152,0.251729377097141,0.553239225088173,1.00106353054781,7500
"fert.eps.year[10]",0.0555048744682459,0.136548592255319,-0.199602036993281,-0.0302478071048746,0.0488684323276159,0.135058912582941,0.338903031918922,1.00127154542613,4200
"fert.eps.year[11]",0.285543492215823,0.199648385897233,-0.0917828637374411,0.156472433044771,0.275106033671339,0.402130640733869,0.714647934201868,1.00092801129006,7500
"fert.eps.year[12]",0.207770156220271,0.166085992945199,-0.0973566903336496,0.102264442953599,0.197886159280225,0.303084040357925,0.568937407968833,1.00080709401841,7500
"fert.eps.year[13]",-0.270097923098021,0.146627934848241,-0.565118898809307,-0.361356294101416,-0.272015505453201,-0.180050280851074,0.0260069737941824,1.0009898643652,7500
"fert.fit",1377.65890322309,64.6139300313972,1261.17188809534,1333.62902624281,1373.77409738215,1417.24794389302,1516.82423129749,1.00094322479224,7500
"fert.fit.new",1387.22818890611,55.9913546567857,1282.27582341657,1348.3932898569,1385.96008396752,1424.14646665141,1499.54014008723,1.00083139423041,7500
"fert.mu",-0.248714164046953,0.180830666288846,-0.63070065961482,-0.361710848695606,-0.244700746363374,-0.130521701671015,0.0928556138442025,1.00095761905125,7500
"fert.sigma.overdisp",0.842213830119885,0.0207688968333821,0.802573322092005,0.82786353261991,0.841892684392392,0.855920554443416,0.88395021029532,1.00099443318668,7500
"fert.sigma.plot",0.307050747822877,0.0950909218785003,0.176414114888643,0.243045379354645,0.289360584803651,0.350444534562064,0.537855519137297,1.00108605728346,7000
"fert.sigma.year",0.282221790257841,0.109688284357807,0.130950284764154,0.207424507333431,0.261311979564933,0.333963892607958,0.549918182257726,1.00088716325976,7500
"flow.bclim[1,1]",-0.271878511277207,0.496347394447209,-1.27835065798581,-0.567104076768498,-0.27098990190134,0.0253288764725956,0.683792359182733,1.00163984734206,2400
"flow.bclim[2,1]",-0.115292054739402,31.4552680534463,-60.995264665461,-21.7677800211728,-0.370770549681733,20.7740326724357,60.6957448962547,1.00084326185235,7500
"flow.bclim[3,1]",0.183360100097029,31.2627538460259,-60.2610082772535,-20.6904727704297,0.286447322587209,20.9862988669182,61.7150296812426,1.0010754259564,7200
"flow.bclim[1,2]",0.0898474057933298,0.475139947974425,-0.82991812754169,-0.20418249206226,0.0807672236783699,0.382119891099939,1.02702951339822,1.00096005902714,7500
"flow.bclim[2,2]",0.358584573228993,31.6067414852387,-62.3861762820799,-20.6519906985692,0.710985663791624,21.467087704767,61.7548355219766,1.00089619589478,7500
"flow.bclim[3,2]",1.09222701972949,0.244822348198163,0.627391619294291,0.921357594660162,1.08350120167983,1.25874517707833,1.58882605310632,1.00438954326018,740
"flow.bclim[1,3]",-0.0365056523859745,0.399937711584743,-0.815575782386938,-0.279735603513613,-0.0402857851267306,0.199103074147596,0.795407174357289,1.00092676348914,7500
"flow.bclim[2,3]",-0.434717091728169,31.7359744904025,-62.5527719116445,-21.9627234644685,-0.215998813604352,20.9838625650089,61.2273993888699,1.0008425693265,7500
"flow.bclim[3,3]",0.196671016146168,0.139587327164761,-0.0721000945841985,0.102488037235328,0.193964901283392,0.293321556622553,0.476980086669108,1.00227877840295,1400
"flow.bsize",5.1665869917395,0.205560802273584,4.75928414726349,5.0297765744726,5.16616707811913,5.30522861090197,5.56569180289212,1.00327160615395,1800
"flow.eps.year[1]",-0.153467830571856,0.929047537213775,-1.95711547526029,-0.707643159460088,-0.156019497146827,0.385558885404976,1.69112417763717,1.00080197239302,7500
"flow.eps.year[2]",0.712043817061638,0.655667172897765,-0.586499206895619,0.293920563290477,0.704002746997235,1.12835131415337,2.00308813800679,1.00088701811591,7500
"flow.eps.year[3]",-0.31243778825951,0.817110853424258,-1.92383807021482,-0.809613405429499,-0.321617591193701,0.169129227893831,1.2814634497572,1.00080343363782,7500
"flow.eps.year[4]",0.0599928191157225,0.780926922526254,-1.41748336939026,-0.429338363950789,0.059595805298113,0.533416585584414,1.64703816030961,1.00123302831886,4600
"flow.eps.year[5]",-0.00242774659418794,1.38505687773,-2.83255518971607,-0.814317710086644,0.0139054243684011,0.815974263105137,2.71779731031904,1.00081773531757,7500
"flow.eps.year[6]",-0.278076483086146,0.867774155601219,-1.99550830487697,-0.805483374677009,-0.293677462721321,0.251081847327924,1.45815466560397,1.00101363217442,7500
"flow.eps.year[7]",-2.03920417656789,0.83779461025041,-3.72364725955615,-2.54908893071958,-2.02328374444689,-1.51908561454817,-0.417992986462623,1.00111314744316,6400
"flow.eps.year[8]",0.875456622030405,0.763933446888326,-0.645646875343842,0.41506429033405,0.870857482056364,1.33755048244346,2.43371347627304,1.00126144097026,4300
"flow.eps.year[9]",0.376398353139043,0.819946814021174,-1.22098736451378,-0.121883928217273,0.367848323995658,0.863675502597314,2.01431734540457,1.00126114841082,4300
"flow.eps.year[10]",0.566273691625415,0.657143130586183,-0.689727989060857,0.152894373909693,0.563435504889079,0.956046640837869,1.87188008734587,1.00102200823822,7500
"flow.eps.year[11]",0.835449624639451,0.807917299143697,-0.718113122609903,0.342748923407373,0.81840242707356,1.30819645491935,2.50655880334139,1.0010258660599,7500
"flow.eps.year[12]",0.654085457141964,0.682225240972255,-0.635439299788226,0.227440904641009,0.642126473642803,1.05950989523686,2.08839132127588,1.00113267953147,6000
"flow.eps.year[13]",-1.24850871509364,1.12073525151452,-3.49027019729143,-1.92107917462165,-1.24828060951815,-0.583405920037353,0.95418158052654,1.00133077575133,3800
"flow.fit",830.034755175568,10.3782361128507,810.311240044845,822.827466861208,829.875316980577,836.930725029018,850.738727039524,1.00277106816624,1700
"flow.fit.new",828.446988639627,23.0004912786756,783.707859743759,812.745381627008,827.942245933247,843.620374025658,874.357630036725,1.00150631235206,2800
"flow.mu",-4.79104662215792,1.33307674887902,-7.50466470350099,-5.59798975337227,-4.76797581214381,-3.99220522986527,-2.23087047692684,1.00142174528516,3200
"flow.sigma.plot",0.412273100419698,0.136973022739392,0.22126817757525,0.318926150413505,0.386931092472492,0.476142275579874,0.74648965171538,1.00094254925933,7500
"flow.sigma.year",1.30092904172178,0.436697289458576,0.742257707220483,1.00859915649551,1.21818843095135,1.48191853203705,2.37060640867892,1.00084437745935,7500
"germ1",0.00591165816163685,0.000684547429743229,0.00462328181706195,0.00544198228744721,0.00588875105380237,0.00636316280158986,0.00730084943598786,1.00107859442505,7100
"germ2",0.00433815680573027,0.00058965550515151,0.00327060041767482,0.0039299652680777,0.00431151561194977,0.00471762231816449,0.00557428699615322,1.0008930976717,7500
