"","mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","Rhat","n.eff"
"flow.fit",832.356075333338,10.455015117603,812.432211376179,825.210756393642,832.160840309711,839.290091760519,853.438776943981,1.00128607054171,7000
"flow.fit.new",831.557640750108,23.3488315507772,786.102555661488,815.595453106292,831.629057980655,847.147939886992,877.463957653821,1.00116676616464,6400
"flow.mu",-4.18700701798509,0.447110292984207,-5.08294390722452,-4.46371644179712,-4.1874565368616,-3.90868928756662,-3.3028279029474,1.00119194809087,6000
"flow.sigma.plot",0.413805397864192,0.138154958096281,0.220711768398087,0.319980656718799,0.389300330127071,0.480031963769154,0.750421249371054,1.00096895412637,10000
"flow.sigma.year",1.13574172821513,0.319172306766081,0.687426113470565,0.910030062355062,1.07855942331605,1.29611168909206,1.92552190604947,1.00103969619759,10000
"flow.z[1,1]",0.0682857142857143,0.252247567677648,0,0,0,0,1,1.00090001139314,10000
"flow.z[2,1]",0.0535238095238095,0.225086286710565,0,0,0,0,1,1.00170764197192,5300
"flow.z[3,1]",1,0,1,1,1,1,1,1,1
"flow.z[1,2]",0.128952380952381,0.335163188476668,0,0,0,0,1,1.00250031483677,1700
"flow.z[2,2]",0.0543809523809524,0.22677866380551,0,0,0,0,1,1.0010507587734,10000
"flow.z[3,2]",0.0418095238095238,0.200163191600038,0,0,0,0,1,1.00428634445413,2800
"flow.z[1,3]",0.0935238095238095,0.291178950741877,0,0,0,0,1,1.00100091964983,10000
"flow.z[2,3]",0.084,0.277401025048523,0,0,0,0,1,1.00097513401645,10000
"flow.z[3,3]",0.167428571428571,0.373375845489892,0,0,0,0,1,1.00434489782829,800
"flow.zsize",1,0,1,1,1,1,1,1,1
"grow.bclim[1,1]",0.0209141437540544,0.0155931493310317,-0.0127214166779584,0.0114708492676557,0.0221135727170081,0.03142910487238,0.0483913874826384,1.00102293027207,10000
"grow.bclim[2,1]",-0.0174244073302696,0.00869345497794427,-0.0334450496480118,-0.0232871598759999,-0.0179238494237862,-0.0120330302334195,0.00101477698621658,1.00104054611276,10000
"grow.bclim[3,1]",0.00555455048839955,0.00333752256843861,-0.000995030085002251,0.00331241464469066,0.00555206548458075,0.00779465662058914,0.0120582311263141,1.00105485728805,10000
"grow.bclim[1,2]",-0.00704179627760155,0.0182443554496326,-0.0415014635674468,-0.0192091827909806,-0.00759342374659373,0.00442978048497498,0.0308144193361704,1.0014642226905,3300
"grow.bclim[2,2]",0.00686160283208493,0.0108887758455647,-0.0159252968272404,0.000324680279479222,0.0073901351582721,0.0138149059113453,0.0277502887959582,1.00112115839423,7500
"grow.bclim[3,2]",-0.0111570886584622,0.00323297769148021,-0.0174779127078803,-0.0133612895558271,-0.0111371963850287,-0.00900334065878144,-0.00482130213569446,1.00122731581748,5400
"grow.bclim[1,3]",0.0102219546623793,0.0200081019162972,-0.0311813297251929,-0.00224705059678798,0.0107948956099948,0.0232641985888511,0.0488123874988577,1.00092059438887,10000
"grow.bclim[2,3]",0.0258059051849714,0.0168449233048843,-0.0104207218413907,0.0156191366828257,0.026614989393018,0.0371100478622415,0.0567828173859905,1.0009501004049,10000
"grow.bclim[3,3]",0.00689376949373641,0.00384884116698496,-0.000676590454530057,0.00428140561185921,0.00687223458025538,0.00949727472162993,0.014473830027958,1.00094540905798,10000
"grow.bsize",-0.0213426225098929,0.00497461682443775,-0.0309788729590378,-0.0247225951473054,-0.0213617094557306,-0.0179711647841935,-0.0115906703892884,1.00108456042545,8700
"grow.fit",325.726445223124,0.458271719501663,324.963677382151,325.396750702412,325.683873538697,326.005423278936,326.756715183134,1.00095379014588,10000
"grow.fit.new",325.949412142282,9.17118099784773,308.331142529368,319.638185793557,325.865266734562,332.139505703097,344.282039597522,1.00115057486157,6800
"grow.mu",-0.018745167934115,0.038058879755847,-0.0941603010876354,-0.0423786317160628,-0.0188786339380565,0.00466192398533742,0.0576711067577082,1.00094918649166,10000
"grow.sigma.eps_b0",0.0648160870579428,0.00129540089366422,0.0623643036931129,0.0639218427705758,0.0647990972822665,0.0656922462436961,0.0673842367092286,1.00112305842786,7500
"grow.sigma.eps_b1",-0.354608991253803,31.5667159617197,-61.5889879751133,-21.5540362278901,-0.358935862771728,20.6883833441278,61.7270427976496,1.00101513790313,10000
"grow.sigma.plot",0.0213145718862764,0.00795304840492898,0.00958430318276023,0.0159033083691305,0.0200778033452212,0.0252344993391872,0.0407556806215275,1.00114912938836,10000
"grow.sigma.year",0.0612300975326184,0.0246887949076734,0.0283860144427987,0.0442966340650868,0.0562125231442875,0.0724384083249895,0.123216994970426,1.00091990857748,10000
"grow.z[1,1]",0.0142857142857143,0.118671706352735,0,0,0,0,0,1.00231845514138,10000
"grow.z[2,1]",0.0117142857142857,0.10760187687381,0,0,0,0,0,1.00479271026596,8700
"grow.z[3,1]",0.00742857142857143,0.0858725220858946,0,0,0,0,0,1.00087765419088,10000
"grow.z[1,2]",0.0136190476190476,0.115908794620576,0,0,0,0,0,1.00093639358989,10000
"grow.z[2,2]",0.01,0.0995034820845348,0,0,0,0,0,1.00372401308794,10000
"grow.z[3,2]",0.0099047619047619,0.0990332855797472,0,0,0,0,0,1.00496032175915,9900
"grow.z[1,3]",0.0159047619047619,0.125113113793706,0,0,0,0,0,1.00522771225683,5900
"grow.z[2,3]",0.0166666666666667,0.128025192380703,0,0,0,0,0,1.00234678952452,10000
"grow.z[3,3]",0.0104761904761905,0.101820564147544,0,0,0,0,0,1.01097919712292,4300
"grow.zsize",0.0125714285714286,0.11142068970847,0,0,0,0,0,1.0065101531711,6000
"surv.bclim[1,1]",0.0122039092008127,0.0709079251197946,-0.060606487936356,-0.0188610727460608,0.00252180230712416,0.0248833795521893,0.217113590864384,1.00280371794732,10000
"surv.bclim[2,1]",0.012274263690112,0.033614360442885,-0.0471358716848905,-0.00729876286106321,0.0120950499211871,0.0307998812825434,0.0696145041260337,1.01045979602643,8000
"surv.bclim[3,1]",0.0300637250484052,0.0336126381379731,-0.0259940306712416,0.00870106333389034,0.0275758522714106,0.047371260792331,0.110603676698981,1.0008819312394,10000
"surv.bclim[1,2]",0.00987528894515605,0.0637530740634871,-0.0623901282292496,-0.0146968152486637,0.00703897419404086,0.0291766149886645,0.12521774264182,1.0093716787779,8900
"surv.bclim[2,2]",0.0131201604152813,0.0326889624327679,-0.0454247464860854,-0.00695295435872286,0.0127771027696067,0.0319545920924141,0.0732758955057268,1.00153928487968,10000
"surv.bclim[3,2]",0.00271649502152323,0.02808136239751,-0.051822892952244,-0.0159358282586119,0.00233099815609434,0.0210169013612319,0.0581065235634489,1.00109788191499,8300
"surv.bclim[1,3]",-0.275454401052873,0.166328844186389,-0.521410014930652,-0.388970063328225,-0.321862933759586,-0.181603770441929,0.0293521840144879,1.00173659518271,2300
"surv.bclim[2,3]",-0.318578180288162,0.140160581600761,-0.53637024533664,-0.397128167215071,-0.3459265696937,-0.283733661798436,0.0151763860447163,1.00105374699253,10000
"surv.bclim[3,3]",-0.0191314247394274,0.030448631964371,-0.0798384554982248,-0.037843069723971,-0.018328698965662,0.000728451745247288,0.0367077234579799,1.00093026881794,10000
"surv.bsize",1.32598732156826,0.0709549483801145,1.18810297059811,1.27767087129027,1.32451816196876,1.37276785717142,1.47057378603944,1.00128851994592,4600
"surv.fit",455.594336974178,10.3462749103396,435.957501850032,448.515613687199,455.391219718454,462.532968002407,476.390978598894,1.00086421645927,10000
"surv.fit.new",443.770818377128,23.705115924202,398.775584073066,427.498151094748,443.711502028554,459.461941656674,490.649398720198,1.00088103130039,10000
"surv.mu",4.23210820906211,0.292614530555423,3.59909338109466,4.07328826355179,4.2399864096457,4.40420604701849,4.79377248266761,1.00253848437701,10000
"surv.sigma.plot",0.192257422841949,0.126182505142884,0.0124613239388461,0.0984496529021262,0.17458407801313,0.261924977195923,0.494547070712308,1.00106775322316,9400
"surv.sigma.year",0.276713319873824,0.289277012603153,0.0061825500916858,0.071226631259734,0.163523435059308,0.399724801386771,1.04578866941944,1.00940540605148,400
