"","mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","Rhat","n.eff"
"flow.bclim[2,2]",0.00303726656866133,0.0571412849046794,-0.0678482252140599,-0.0197356658036389,0.00161891211139994,0.022877361084646,0.0782184189458965,1.00105003380082,9000
"flow.bclim[3,2]",-0.146186327623726,0.345219569460994,-1.30445634147961,-0.0604987154480822,-0.0160103928391046,0.00944061403389052,0.0554576329756622,1.13436394160062,44
"flow.bclim[4,2]",0.0386398390186154,0.128980841177177,-0.0588410721981684,-0.0166819686106963,0.00500725375784333,0.030111937324698,0.491753953049177,1.16648711110014,39
"flow.bclim[1,3]",-0.0804906540341177,0.269400595367233,-0.915010997669976,-0.0385124279257892,-0.00841873511529924,0.0174033841710565,0.0817255036161694,1.00110442605285,9000
"flow.bclim[2,3]",-0.00829289683890842,0.109158438119788,-0.242528716073278,-0.0245094564110951,-0.000962804438866708,0.0218335591493236,0.10293290027752,1.0099800598394,9000
"flow.bclim[3,3]",-0.284563322051841,0.36412330001914,-1.17820277631513,-0.505873431959143,-0.0598282569549378,-0.00880446704976824,0.0421963913261792,1.01777552126559,170
"flow.bclim[4,3]",-0.0660196679907821,0.157073551835161,-0.540413149038697,-0.0436719384783207,-0.0116677227687346,0.0132896570478636,0.0592468417037231,1.03151235253768,130
"flow.bsize",5.9518929276473,0.394827884132675,5.16167878090335,5.70452380831786,5.95393008984542,6.201009621951,6.7294976838991,1.00592914415325,600
"flow.fit",754.756931527311,10.125791880673,734.631854588967,748.086641313195,754.683895828635,761.461985202059,775.02618688181,1.00369219831681,700
"flow.fit.new",758.950224082952,22.1740444332103,715.573382238932,744.159673249337,758.867624834608,773.872770712064,802.187454614179,1.0027427479211,1000
"flow.mu",-4.44919971643373,0.707827546663361,-5.77183365300892,-4.85527388189468,-4.46960692759451,-4.08496630295763,-2.99944960024038,1.00131361756336,4200
"flow.sigma.plot",0.410132175320391,0.135708788035821,0.221309990203699,0.317004014643603,0.385795314597551,0.476968861661782,0.737148870125699,1.00108681356832,7800
"flow.sigma.year",1.46436880957727,0.430813786710061,0.864930908036272,1.16369380596012,1.39118884928565,1.67392838199506,2.51807801465764,1.00152664808554,2900
"flow.z[1,1]",0.137333333333333,0.34421803265663,0,0,0,0,1,1.00169996226593,2300
"flow.z[2,1]",0.0455555555555556,0.208530761733081,0,0,0,0,1,1.00112739058623,8900
"flow.z[3,1]",0.08,0.271308272425521,0,0,0,0,1,1.00103413891477,9000
"flow.z[4,1]",0.0176666666666667,0.131744009555591,0,0,0,0,0,1.00276994562243,9000
"flow.z[1,2]",0.118777777777778,0.323544816885988,0,0,0,0,1,1.00134836306486,3900
"flow.z[2,2]",0.0531111111111111,0.224267495241808,0,0,0,0,1,1.00095303488014,9000
"flow.z[3,2]",0.230777777777778,0.4213539149347,0,0,0,0,1,1.03223436223118,91
"flow.z[4,2]",0.115777777777778,0.319976030389705,0,0,0,0,1,1.09187661841896,53
"flow.z[1,3]",0.184111111111111,0.387596313448683,0,0,0,0,1,1.00109293310929,7700
"flow.z[2,3]",0.0864444444444444,0.281034834298034,0,0,0,0,1,1.00143243608949,3900
"flow.z[3,3]",0.476555555555556,0.499477805123626,0,0,0,1,1,1.01135491673811,190
"flow.z[4,3]",0.188444444444444,0.391088391877574,0,0,0,0,1,1.02483287997645,130
"flow.zsize",1,0,1,1,1,1,1,1,1
"grow.bclim[1,1]",0.00997630105171575,0.0355277606107702,-0.0524477310156778,-0.0120472021012994,0.00886954486152969,0.0299530314148395,0.0790559385862868,1.00088419286288,9000
"grow.bclim[2,1]",-9.68145377326556e-05,0.00871879186908651,-0.0164253225429135,-0.00557165776960526,-0.000229017460509655,0.00510696186764976,0.0172531362607378,1.00087589565449,9000
"grow.bclim[3,1]",-0.0198482460492902,0.0289697601058959,-0.0782870348060014,-0.0401507056485729,-0.0182253748302234,0.00168301566680754,0.0307086708846153,1.00124541672989,4800
"grow.bclim[4,1]",0.00160219120834274,0.00557200422815307,-0.00950264577801775,-0.00225475318010618,0.001922864143561,0.00568648139836475,0.0114471027200535,1.00123489744863,5000
"grow.bclim[1,2]",0.0293010288421552,0.0286453529275961,-0.0272634668584312,0.010704447485545,0.0300989977895961,0.0477423715858663,0.0846550440049346,1.00088511860948,9000
"grow.bclim[2,2]",-0.0213955348192316,0.0132183116357674,-0.0463969098726504,-0.030249477518127,-0.0218389560798079,-0.0128621723932988,0.00513771306435267,1.0009228525357,9000
"grow.bclim[3,2]",-0.0180256642477699,0.0103698856940481,-0.0382681832985765,-0.0251132010314033,-0.0180854196716948,-0.0108711150652555,0.00173069759175097,1.00103411443967,9000
"grow.bclim[4,2]",0.0208176908916119,0.0043151979726521,0.0124427535376458,0.0178756261492226,0.0208168829549721,0.0237084835306773,0.0292094294412943,1.00087393508628,9000
"grow.bclim[1,3]",0.0252923963036959,0.0228494813513798,-0.0232217948456098,0.0110594825883447,0.0266250666780149,0.040853427114008,0.0670966407688703,1.00103257411184,9000
